brand_id,brand_name
1,Lada
2,GAZ
3,Other
4,Moskvich
5,ZAZ
6,Daewoo
7,Nissan
8,UAZ
9,Audi
10,Ford
11,Opel
12,Kia
13,Volkswagen
14,Fiat
15,Toyota
16,BMW
17,Mercedes-Benz
18,Chevrolet
19,Hyundai
