region_id,region_name
1,Jizzakh
2,Namangan
3,Khorezm
4,Karakalpakstan
5,Kashkadarya
6,Andijan
7,Tashkent
8,Bukhara
9,Syrdarya
10,Fergana
11,Samarkand
12,Surkhandarya
13,Navoi
14,
