color_id,color_name
1,Red
2,Green
3,White
4,Turquoise
5,Blue
6,Chameleon
7,Beige
8,Gray
9,Yellow
10,Brown
11,Orange
12,Black
13,Bronze
14,Olive
15,Silver
16,Safari
17,Asphalt
18,Gold
19,Violet
20,Matte
21,Pink
22,Magnolia
23,Purple
24,
