year,car_name,price_usd
1977,Lada 2106,1200.0
1973,Lada 2101,1200.0
1977,Lada 2102,1200.0
1972,Lada 2101,1200.0
1960,69,1200.0
1979,2125 Комби,1200.0
1971,Lada 2101,1200.0
1973,Lada 2102,1200.0
1978,Lada 2106,1200.0
1979,Lada 2106,1200.0
1975,Lada 2103,1200.0
1976,Lada 21011,1200.0
1976,Lada 2101,1000.0
1979,Lada 2101,1200.0
1965,21,1200.0
1960,21,1200.0
1969,21М,1200.0
1979,Lada 2106,1200.0
1975,GAZ 24 Volga,1200.0
1974,Lada 2106,1200.0
1975,Lada 2101,1200.0
1978,Lada 2106,1291.7
1976,Lada 2103,1291.7
1979,Lada 2101,1520.0
1975,Lada 2111,1625.0
1974,Lada 2102,1500.0
1978,Lada Niva,1500.0
1977,GAZ 2401,1500.0
1978,Lada 2103,1500.0
1976,Lada 2103,1500.0
1976,21033,1500.0
1977,Lada 2106,1500.0
1976,Lada 2106,1500.0
1979,Lada 2102,1500.0
1973,Lada 21011,1500.0
1979,Lada 2101,1500.0
1978,Lada 2101,1500.0
1959,21,1500.0
1979,Moskvich 412,1500.0
1977,Lada 2106,1500.0
1959,21,1500.0
1975,Lada 2101,1500.0
1978,Lada 2102,1500.0
1976,Lada 2106,1500.0
1977,Lada 2102,1500.0
1967,21,1500.0
1974,Lada 2106,1500.0
1978,Moskvich 412,1500.0
1979,Lada 2106,1500.0
1977,Moskvich 412,1500.0
1976,GAZ 2410 Volga,1500.0
1973,Lada 2102,1500.0
1963,21,1500.0
1962,21,1500.0
1975,Lada 2102,1500.0
1978,Lada 2106,1500.0
1975,Lada 21011,1500.0
1970,Lada 21011,1500.0
1975,Lada 2106,1500.0
1979,GAZ 24 Volga,1500.0
1975,Moskvich 412,1500.0
1969,Другая,1500.0
1969,21,1500.0
1973,Lada 2101,1500.0
1971,Другая,1500.0
1978,Lada 2101,1500.0
1979,Lada 2101,1500.0
1970,Lada 21011,1500.0
1979,Lada 21011,1500.0
1974,Lada 2101,1500.0
1978,Lada 2102,1500.0
1979,Lada 2101,1500.0
1979,Lada 2111,1500.0
1975,Lada 21011,1500.0
1965,965,1500.0
1978,66,1500.0
1975,ZAZ 968,1500.0
1975,Lada 2111,1500.0
1977,Lada 21011,1500.0
1973,Lada 2101,1500.0
1974,Lada 2103,1500.0
1975,Lada 2101,1500.0
1979,Lada 2101,1500.0
1978,Lada 2102,1499.0
1976,Lada 2102,1499.0
1958,21,1499.0
1979,GAZ 2410 Volga,1583.3
1973,Lada 2101,1583.3
1976,Lada 2102,1400.0
1977,Lada 2106,1400.0
1975,GAZ 2401,1400.0
1976,Lada 21011,1400.0
1973,Lada 2102,1400.0
1975,Lada 2103,1400.0
1978,Lada 2106,1400.0
1977,Lada 2101,1400.0
1974,Lada 2106,1400.0
1978,Lada 21011,1400.0
1979,GAZ 2401,1400.0
1973,Lada 2102,1400.0
1975,Lada 2101,1400.0
1974,Lada 2101,1400.0
1976,Moskvich 412,1400.0
1976,GAZ 24 Volga,1400.0
1978,Lada 2102,1400.0
