model_clean,model_clean
EU5,2
22,2
Hilux,2
66,2
2217,2
Tiburon,2
Tavera,2
X,2
Venture,2
Fox,2
Ioniq,2
118,1
SL 320,1
12 ЗИМ,1
Uno,1
Vaneo,1
Scirocco,1
007,1
1000,1
Regata,1
A 180,1
21074i,1
116,1
Arena,1
524,1
Rush,1
Дуэт,1
400,1
3164,1
126,1
V 220,1
Admiral,1
Almera,1
S-10,1
S 63 AMG,1
324,1
127,1
21101,1
Tredia,1
20М,1
818 Kombi,1
39094,1
Spider Europa,1
2,1
Sport Trac,1
21053,1
21051,1
21044i,1
21101i,1
Z3,1
Z4,1
Tempo,1
650,1
Streetka,1
Taycan,1
Z4M,1
3741,1
Supra,1
eS8,1
Zafira,1
Tacoma,1
728,1
Space Wagon,1
730,1
Touareg,1
1600,1
434,1
180SX,1
А3,1
iEVS4,1
Taunus,1
Town Ace Noah,1
Town Ace,1
Skyline,1
110307,1
Titan,1
iEV7S,1
Skyline GT-R,1
Soarer,1
4runner,1
51,1
740,1
Tiggo 8 Pro Max,1
eT7,1
Mx-5,1
RX400h,1
Focus C-Max,1
GL 420,1
G 500,1
G 300,1
Fusion,1
Frontera,1
Focus ST,1
Focus,1
GLK 220,1
Flex,1
Five Hundred,1
Fiorino,1
Fiesta,1
Festiva,1
Falcon,1
Capital,1
GS350,1
FJ Cruiser,1
Golf III,1
HS,1
H9,1
H6,1
CX-7,1
Cabriolet,1
Golf VI,1
Golf II,1
Cami,1
Golf I,1
Gol,1
Gloria,1
Calibra,1
Camaro,1
Galloper,1
Fairlane,1
Explorer,1
2310,1
Datsun,1
Cayenne,1
E 220,1
Cee&#039;d,1
Doblo,1
Celica,1
Celta,1
31519,1
E 420,1
Crown Victoria,1
CrossPolo,1
Cronos,1
Croma,1
Cressida,1
Corrado,1
Carina 2,1
E 430,1
Expert,1
Caravan,1
Excel,1
Everest,1
Evanda,1
Eterna,1
27171,1
2834 DJ,1
Caravelle,1
3000 GT,1
El Camino,1
Econoline,1
ES350,1
ES300,1
EK Wagon,1
EC3,1
2329,1
CLS 63 AMG,1
RX300,1
3160,1
Outlander XL,1
Boxster,1
Orion,1
Brava,1
Bronco,1
Octavia,1
C 220,1
Pajero Sport,1
21121,1
21122,1
NV200,1
NF,1
Mx-6,1
Corolla II,1
31602,1
21109,1
C 250,1
21102,1
Aurion,1
R Nessa,1
Avensis Wagon,1
B 200,1
Q5,1
Pro Cee&rsquo;d,1
Pride,1
Passat CC,1
Premacy,1
Bel Air,1
21103,1
Bluebird Sylphy,1
21104,1
Pathfinder,1
Multivan,1
21150i,1
IQ,1
CLK 500,1
LS430,1
LE Mans,1
CL 500,1
21Р,1
CLK 200,1
L300,1
Kadett E,1
LX470,1
Kadett D,1
CLK 63 AMG,1
CLS 500,1
Jetta 1,1
CLS 55 AMG,1
Impala,1
LUV D-Max,1
214120,1
Maverick,1
C-Max,1
2120,1
C 55 AMG,1
MR-S,1
ML 500,1
ML 400,1
C 63 AMG,1
2129,1
Land Cruiser 105,1
C10 REEV,1
Lumina,1
Lavita,1
Laurel,1
21312,1
2138,1
410,1
