ad_id,url,region,district,price_raw,currency,description,image_url,brand,model_raw,body_type,sale_type,year,mileage,transmission,color,engine_volume,fuel_type,condition,drive_type,source,owners_count,additional_options,model_clean,car_name,price_usd,is_outlier,mileage_raw,mileage_log,mileage_group,engine_volume_raw,engine_volume_l,era,car_age,year_valid,district_clean
4n6Vk,https://olx.uz/d/obyavlenie/vaz-2104-sotiladi-ID4n6Vk.html,Samarkand,Samarkand,18000000,UZS,Описание Moshini remonti bor osayiz yana kelishamiz,https://frankfurt.apollo.olxcdn.com:443/v1/files/1gaeznmyrsx02-UZ/image;s=1529x953,Lada,2104,Hatchback,Simple Sale,1993,99999.0,Manual,Red,16,Other,Needs Repair,,olx,4,,2104,Lada 2104,1500,False,99999,11.512925464970229,medium,16,1.6,1990s,33,True,Samarkand
407Lb,https://olx.uz/d/obyavlenie/zhiguli-vaz-2106-otlichnom-sostoyanii-ID407Lb.html,Bukhara,Bukhara,18000000,UZS,Описание 1989 год состание отличный. Родной краска. Двигатель 03 На газу пропан новий балон всë родной в машине . Сел поехал без расхода. 18000000 сум,https://frankfurt.apollo.olxcdn.com:443/v1/files/tbb2gtgdplkd-UZ/image;s=1600x900,Lada,2106,Sedan,Simple Sale,1989,100000.0,Manual,White,80,Gasoline/Gas,Excellent,,olx,1,,2106,Lada 2106,1500,False,100000,11.51293546492023,medium,80,,1980s,37,True,Bukhara
4nK3c,https://olx.uz/d/obyavlenie/2107-sotiladi-1250-ID4nK3c.html,Bukhara,Bukhara,15000000,UZS,Описание 2107 sotiladi narxi kelishiladi kuzov radnoy kraska dtp bolmagan,https://frankfurt.apollo.olxcdn.com:443/v1/files/dcu3fc3a7xhc-UZ/image;s=1000x750,Lada,2107,Sedan,Simple Sale,1988,18887.0,Manual,Green,1500,Gasoline,Average,,olx,2,,2107,Lada 2107,1250,True,18887,9.846282078765348,low,1500,1.5,1980s,38,True,Bukhara
4nGsY,https://olx.uz/d/obyavlenie/matiz-sotiladi-yili-2011-yoq-zapchastga-ID4nGsY.html,Tashkent,Chilanzar,1500,USD,Описание Matiz sotiladi yili 2011 Zapchastga Koʻtorolmasam +998888500077,https://frankfurt.apollo.olxcdn.com:443/v1/files/27cm5xn5r6uq1-UZ/image;s=960x1280,Daewoo,Matiz,Other,Simple Sale,2011,400000.0,Manual,White,1,Gasoline/Gas,Average,,olx,1,,Matiz,Daewoo Matiz,1500,False,400000,12.899222326086994,very_high,1,1.0,2010s,15,True,Chilanzar
3ViX6,https://olx.uz/d/obyavlenie/lada-vaz-2106-sotiladi-urganchda-ID3ViX6.html,Khorezm,Urgench,2000,USD,Описание Lada 2106 Yili 1989 Yoqilg'i benzin va metan gaz,https://frankfurt.apollo.olxcdn.com:443/v1/files/eehf4hoxk1992-UZ/image;s=1280x960,Lada,2106,Sedan,Simple Sale,1989,99999.0,Manual,Brown,11,Gasoline/Gas,Excellent,,olx,1,,2106,Lada 2106,2000,True,99999,11.512925464970229,medium,11,1.1,1980s,37,True,Urgench
